NAIC,Company_Name,Ratio,Upheld_Complaints,Question_of_Fact_Complaints,Not_Upheld_Complaints,Total_Complaints,Premiums_Written,Rank,Filing_Year
19232,"Allstate Insurance Company",0.0516,24,22,44,90,464.774,96,2023
19232,"Allstate Insurance Company",0.0670,32,26,69,127,477.637,100,2022
19232,"Allstate Insurance Company",0.0705,35,19,66,120,496.148,109,2021
19232,"Allstate Insurance Company",0.0989,53,28,87,168,535.815,113,2020
19232,"Allstate Insurance Company",0.1600,95,44,77,216,587.170,130,2019
19232,"Allstate Insurance Company",0.0800,49,61,84,194,645.640,126,2018
19232,"Allstate Insurance Company",0.0700,48,91,150,289,707.690,125,2017
19232,"Allstate Insurance Company",0.0308,23,91,123,237,747.431,115,2016
19232,"Allstate Insurance Company",0.0308,23,91,123,237,747.431,115,2015
19232,"Allstate Insurance Company",0.0878,76,136,251,463,865.759,116,2014
19232,"Allstate Insurance Company",0.0788,75,100,188,363,952.202,126,2013
19232,"Allstate Insurance Company",0.1107,116,203,297,616,1047.680,137,2012
19232,"Allstate Insurance Company",0.0861,97,251,312,660,1127.180,121,2011
19232,"Allstate Insurance Company",0.1423,170,698,482,1350,1194.346,130,2010
19232,"Allstate Insurance Company",0.1418,180,318,525,1023,1269.438,119,2009
